===== CommonEvents.rxdata =====  (Array 111 项, index 0 为 nil 占位)
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 80 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 67 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 55 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 42 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 30 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 17 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Scroll Picture         | 1
   0| Scroll Picture         | 2
   0| Scroll Picture         | 3
   0| Wait                   | 45
   0| Show Text              | @niko_shock \|...\.\....
   0| Wait                   | 20
   0| Set Move Route         | -1 | #<RPG::MoveRoute:0x0000022e28b4ae08 @list=[#<RPG::MoveCommand:0x0000022e28b4adb8 @parameters=[], @code=16>, #<RPG::MoveCommand:0x0000022e28b4ad68 @parameters=[], @code=0>], @skippable=false, @repeat=false>
   0| (code 509)             | #<RPG::MoveCommand:0x0000022e28b4adb8 @parameters=[], @code=16>
   0| Wait                   | 20
   0| Show Text              | @niko_speak \p! Did you see what happened?
   0| Text Options           | 1 | 1
   0| Show Text              |
   0| Show Choices           | Yeah? | 0
   0| Choices Branch         | 0 | Yeah?
   1| Text Options           | 2 | 0
   1| (code 0)               |
   0| Choices End            |
   0| Show Text              | @niko_eyeclosed My vision went blank for a second...\>\n\@niko_speak And then I saw something?
   0| Show Text              | @niko Like a really short dream...
   0| Wait                   | 20
   0| Show Text              | @niko_eyeclosed I wonder what that was about...
   0| Wait                   | 20
   0| Play BGM               | SimpleSecrets (vol=100, pitch=100)
   0| Control Switches       | 109 | 109 | 0
   0| (code 0)               |

[CommonEvent 56] mines vision
  trigger=0 switch_id=1
   0| Show Picture           | 1 | vision_blue1 | 0 | 0 | 0 | 0 | 200 | 200 | 255 | 0
   0| Show Picture           | 2 | vision_blue2 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Show Picture           | 3 | vision_blue3 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Play SE                | tv_static (vol=100, pitch=120)
   0| Wait                   | 2
   0| Stop SE                | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 243 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 230 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 217 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 205 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 192 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 180 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 167 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 155 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 142 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 130 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 117 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 105 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 92 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 80 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 67 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 55 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 42 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 30 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 17 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Scroll Picture         | 1
   0| Scroll Picture         | 2
   0| Scroll Picture         | 3
   0| (code 0)               |

[CommonEvent 57] birdcourt vision
  trigger=0 switch_id=1
   0| Show Picture           | 1 | vision_green1 | 0 | 0 | 0 | 0 | 200 | 200 | 255 | 0
   0| Show Picture           | 2 | vision_green2 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Show Picture           | 3 | vision_green3 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Play SE                | tv_static (vol=100, pitch=120)
   0| Wait                   | 2
   0| Stop SE                | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 243 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 230 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 217 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 205 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 192 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 180 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 167 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 155 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 142 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 130 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 117 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 105 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 92 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 80 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 67 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 55 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 42 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 30 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Move Picture           | 1 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Move Picture           | 2 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 17 | 0
   0| Move Picture           | 3 | 1 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   0| Wait                   | 2
   0| Scroll Picture         | 1
   0| Scroll Picture         | 2
   0| Scroll Picture         | 3
   0| (code 0)               |

[CommonEvent 58] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 59] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 60] Ed hallway 1
  trigger=0 switch_id=1
   0| Wait                   | 5
   0| Call Script            | EdText.info("So you actually made it
   0| (code 655)             | here.")
   0| Wait                   | 1
   0| Call Script            | EdText.info("I... guess you win,
   0| (code 655)             | \\p.")
   0| Wait                   | 1
   0| Call Script            | EdText.info("I'll tell you how to
   0| (code 655)             | save the world, then.")
   0| Wait                   | 1
   0| Call Script            | EdText.info("When you reach the
   0| (code 655)             | summit, shatter the lightbulb,
   0| (code 655)             | and...")
   0| Control Switches       | 115 | 115 | 0
   0| (code 0)               |

[CommonEvent 61] Ed hallway 2
  trigger=0 switch_id=1
   0| Wait                   | 5
   0| Call Script            | EdText.info("...I'm just humoring
   0| (code 655)             | you. ")
   0| Wait                   | 1
   0| Call Script            | EdText.info("I know you've been
   0| (code 655)             | getting help from a certain
   0| (code 655)             | someone.")
   0| Wait                   | 1
   0| Call Script            | EdText.info("He already told you
   0| (code 655)             | about the choice, didn't he?")
   0| Control Switches       | 116 | 116 | 0
   0| (code 0)               |

[CommonEvent 62] Ed hallway 3
  trigger=0 switch_id=1
   0| Wait                   | 5
   0| Call Script            | EdText.info("Are you still planning
   0| (code 655)             | to save the world, \\p?")
   0| Wait                   | 1
   0| Call Script            | EdText.info("Why are you trying so
   0| (code 655)             | hard for this?")
   0| Wait                   | 1
   0| Call Script            | EdText.info("Haven't you even figured
   0| (code 655)             | out what this world IS?")
   0| Control Switches       | 117 | 117 | 0
   0| (code 0)               |

[CommonEvent 63] Ed hallway 4
  trigger=0 switch_id=1
   0| Wait                   | 5
   0| Call Script            | EdText.info("I told you at the
   0| (code 655)             | beginning, your mission is to help
   0| (code 655)             | Niko leave.")
   0| Wait                   | 1
   0| Call Script            | EdText.info("Because Niko isn't part
   0| (code 655)             | of this world.")
   0| Wait                   | 1
   0| Call Script            | EdText.info("Niko is the only thing
   0| (code 655)             | worth saving here.")
   0| Wait                   | 1
   0| Call Script            | EdText.info("     ...     ")
   0| Wait                   | 1
   0| Call Script            | EdText.info("...The final choice is
   0| (code 655)             | up to you.")
   0| Wait                   | 1
   0| Call Script            | EdText.info("I can't go against my
   0| (code 655)             | programming.")
   0| Control Switches       | 118 | 118 | 0
   0| (code 0)               |

[CommonEvent 64] Ed hallway 5
  trigger=0 switch_id=1
   0| Wait                   | 5
   0| Call Script            | EdText.info("You only have one shot,
   0| (code 655)             | \\p.")
   0| Wait                   | 1
   0| Call Script            | EdText.info("If you choose to smash
   0| (code 655)             | the lightbulb, then Niko wakes up
   0| (code 655)             | back home, like it was all a dream.")
   0| Wait                   | 1
   0| Call Script            | EdText.info("But if you let Niko
   0| (code 655)             | return the sun, the child will have
   0| (code 655)             | to bear the weight of this
   0| (code 655)             | sacrifice.")
   0| Control Switches       | 119 | 119 | 0
   0| (code 0)               |

[CommonEvent 65] Ed hallway 6
  trigger=0 switch_id=1
   0| Wait                   | 5
   0| Call Script            | EdText.info("At least, tell Niko the
   0| (code 655)             | truth.")
   0| Wait                   | 1
   0| Call Script            | EdText.info("...you do care about
   0| (code 655)             | Niko, don't you?")
   0| Control Switches       | 120 | 120 | 0
   0| Call Common Event      | 43
   0| (code 0)               |

[CommonEvent 66] glowJournal
  trigger=0 switch_id=1
   0| Control Variables      | 1 | 1 | 0 | 0 | 0
   0| Call Script            | $scene = Scene_Map.new
   0| Conditional Branch     | 0 | 303 | 0
   1| Show Picture           | 1 | pj_portal | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Move Picture           | 1 | 30 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   1| Play SE                | page (vol=80, pitch=100)
   1| Wait                   | 30
   1| Batch Text             | 22
   1| Move Picture           | 1 | 30 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   1| Wait                   | 30
   1| Scroll Picture         | 1
   1| (code 0)               |
   0| Conditional Else       |
   1| Conditional Branch     | 1 | 12 | 0 | 16 | 1
   2| Show Picture           | 1 | pj_2a | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   2| Move Picture           | 1 | 30 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   2| Play SE                | page (vol=80, pitch=100)
   2| Wait                   | 30
   2| Batch Text             | 22
   2| Control Variables      | 22 | 22 | 0 | 6 | -1 | 0
   2| Control Variables      | 23 | 23 | 0 | 6 | -1 | 1
   2| Conditional Branch     | 1 | 22 | 0 | 31 | 0
   3| Conditional Branch     | 1 | 23 | 0 | 7 | 0
   4| (code 224)             | #<Color:0x0000022e28b5bf50 @red=255.0, @green=255.0, @blue=255.0, @alpha=255.0> | 10
   4| Call Script            | Script.move_player(31,7)
   4| Play SE                | pc_logon (vol=80, pitch=100)
   4| Wait                   | 20
   4| Play SE                | fade_in_echo (vol=80, pitch=150)
   4| Show Picture           | 2 | pj_2b | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   4| Move Picture           | 2 | 30 | 0 | 0 | 0 | 0 | 200 | 200 | 255 | 0
   4| Wait                   | 30
   4| Control Switches       | 240 | 240 | 0
   4| Show Picture           | 3 | white | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   4| Move Picture           | 3 | 10 | 0 | 0 | 0 | 0 | 200 | 200 | 255 | 0
   4| Wait                   | 10
   4| Scroll Picture         | 1
   4| Scroll Picture         | 2
   4| Move Picture           | 3 | 40 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   4| Wait                   | 40
   4| Change Items           | 24 | 0 | 0 | 1
   4| Change Items           | 74 | 1 | 0 | 1
   4| Control Variables      | 1 | 1 | 0 | 0 | 0
   4| Control Variables      | 4 | 4 | 0 | 0 | 4
   4| Exit Event Processing  |
   4| (code 0)               |
   3| Conditional End        |
   3| (code 0)               |
   2| Conditional End        |
   2| Move Picture           | 1 | 30 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   2| Wait                   | 30
   2| Scroll Picture         | 1
   2| (code 0)               |
   1| Conditional Else       |
   2| Show Picture           | 1 | pj_1a | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   2| Move Picture           | 1 | 30 | 0 | 0 | 0 | 0 | 100 | 100 | 255 | 0
   2| Play SE                | page (vol=80, pitch=100)
   2| Wait                   | 30
   2| Batch Text             | 22
   2| Control Variables      | 22 | 22 | 0 | 6 | -1 | 0
   2| Control Variables      | 23 | 23 | 0 | 6 | -1 | 1
   2| Conditional Branch     | 1 | 22 | 0 | 35 | 0
   3| Conditional Branch     | 1 | 23 | 0 | 15 | 0
   4| (code 224)             | #<Color:0x0000022e28b5b0f0 @red=255.0, @green=255.0, @blue=255.0, @alpha=255.0> | 10
   4| Call Script            | Script.move_player(35,15)
   4| Play SE                | pc_logon (vol=80, pitch=100)
   4| Wait                   | 20
   4| Play SE                | fade_in_echo (vol=80, pitch=150)
   4| Show Picture           | 2 | pj_1b | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   4| Move Picture           | 2 | 30 | 0 | 0 | 0 | 0 | 200 | 200 | 255 | 0
   4| Wait                   | 30
   4| Control Switches       | 208 | 208 | 0
   4| Show Picture           | 3 | white | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   4| Move Picture           | 3 | 10 | 0 | 0 | 0 | 0 | 200 | 200 | 255 | 0
   4| Wait                   | 10
   4| Scroll Picture         | 1
   4| Scroll Picture         | 2
   4| Move Picture           | 3 | 40 | 0 | 0 | 0 | 0 | 200 | 200 | 0 | 0
   4| Wait                   | 40
   4| Change Items           | 24 | 0 | 0 | 1
   4| Change Items           | 74 | 1 | 0 | 99
   4| Control Variables      | 1 | 1 | 0 | 0 | 0
   4| Control Variables      | 4 | 4 | 0 | 0 | 4
   4| Exit Event Processing  |
   4| (code 0)               |
   3| Conditional End        |
   3| (code 0)               |
   2| Conditional End        |
   2| Conditional Branch     | 0 | 209 | 1
   3| Show Text              | @niko2 Oh... I found this page.
   3| Show Text              | @niko It looks kind of like a drawing of this room.
   3| Show Text              | @niko_speak Maybe it's telling us we should come here?
   3| Show Text              | @niko Which we did, already.
   3| Show Text              | @niko_speak So... it looks like we're on the right track!
   3| Control Switches       | 209 | 209 | 0
   3| (code 0)               |
   2| Conditional End        |
   2| Move Picture           | 1 | 30 | 0 | 0 | 0 | 0 | 100 | 100 | 0 | 0
   2| Wait                   | 30
   2| Scroll Picture         | 1
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 67] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 68] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 69] 
  trigger=0 switch_id=1
   0| (code 0)               |

[CommonEvent 70] alula helps!
  trigger=0 switch_id=1
   0| Conditional Branch     | 4 | 2 | 0
   1| Control Variables      | 22 | 22 | 0 | 2 | 1 | 4
   1| Wait                   | 10
   1| Conditional Branch     | 1 | 22 | 0 | 1 | 0
   2| (code 0)               |
   1| Conditional Else       |
   2| Conditional Branch     | 1 | 22 | 0 | 2 | 0
   3| (code 0)               |
   2| Conditional Else       |
   3| Conditional Branch     | 1 | 22 | 0 | 3 | 0
   4| (code 0)               |
   3| Conditional Else       |
   4| Conditional Branch     | 1 | 22 | 0 | 4 | 0
   5| Show Text              | @alula I'm helping!
   5| Wait                   | 20
   5| (code 0)               |
   4| Conditional Else       |
   5| (code 0)               |
   4| Conditional End        |
   4| (code 0)               |
   3| Conditional End        |
   3| (code 0)               |
   2| Conditional End        |
   2| (code 0)               |
   1| Conditional End        |
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 71] hi silver
  trigger=0 switch_id=1
   0| Conditional Branch     | 2 | A | 0
   1| Show Text              | @silver [Hello again.]
   1| Show Text              | @Niko Hello.
   1| (code 0)               |
   0| Conditional Else       |
   1| Show Text              | @Niko Hello.
   1| Show Text              | @silver2 [Do you... need anything?]
   1| Show Text              | @Niko Nah.
   1| Show Text              | @silver [Okay.]
   1| Control Self Switch    | A | 0
   1| (code 0)               |
   0| Conditional End        |
   0| (code 0)               |

[CommonEvent 72] GEORGE PICKER
  trigger=0 switch_id=1
   0| Show Text              | PICK YOUR GEORGE VALUE!
   0| Wait                   | 1
   0| Label                  | picking start
   0| Show Choices           | 1, 2, 3, More | 5
   0| Choices Branch         | 0 | 1
   1| Play SE                | menu_decision (vol=80, pitch=100)
   1| Control Variables      | 47 | 47 | 0 | 0 | 1
   1| Exit Event Processing  |
   1| (code 0)               |
   0| Choices Branch         | 1 | 2
   1| Play SE                | menu_decision (vol=80, pitch=100)
   1| Control Variables      | 47 | 47 | 0 | 0 | 2
   1| (code 0)               |
   0| Choices Branch         | 2 | 3
   1| Play SE                | menu_decision (vol=80, pitch=100)
   1| Control Variables      | 47 | 47 | 0 | 0 | 3
   1| (code 0)               |
   0| Choices Branch         | 3 | More
   1| Show Choices           | 4, 5, 6, More | 5
   1| Choices Branch         | 0 | 4
   2| Play SE                | menu_decision (vol=80, pitch=100)
   2| Control Variables      | 47 | 47 | 0 | 0 | 4
   2| (code 0)               |
   1| Choices Branch         | 1 | 5
   2| Play SE                | menu_decision (vol=80, pitch=100)
   2| Control Variables      | 47 | 47 | 0 | 0 | 5
